Calibration Info
gimbal_dphi_calib_rad,gimbal_dtheta_calib_rad
0.0,-0.19689069810571594

Index,dphi_rel_rad,dtheta_rel_rad,dphi_abs_rad,dtheta_abs_rad
0,0.0,0.0,0.0,-11.281006026841956
1,-0.24242424242424246,0.17578125,-0.24242424242424246,-11.105224776841956
2,-0.15151515151515152,0.17578125,-0.15151515151515152,-11.105224776841956
3,-0.15151515151515152,0.41015625,-0.15151515151515152,-10.870849776841956
4,-0.13636363636363638,0.41015625,-0.13636363636363638,-10.870849776841956
5,-0.12121212121212123,0.64453125,-0.12121212121212123,-10.636474776841956
6,-0.2272727272727273,0.7617187499999999,-0.2272727272727273,-10.519287276841956
7,-0.21212121212121213,0.9960937499999999,-0.21212121212121213,-10.284912276841956
8,-0.13636363636363638,0.9960937499999999,-0.13636363636363638,-10.284912276841956
9,-0.12121212121212123,1.23046875,-0.12121212121212123,-10.050537276841956
10,-0.11363636363636365,1.23046875,-0.11363636363636365,-10.050537276841956
11,-0.10606060606060606,1.23046875,-0.10606060606060606,-10.050537276841956
12,-0.09090909090909091,1.46484375,-0.09090909090909091,-9.816162276841956
13,-0.24242424242424246,1.5820312499999998,-0.24242424242424246,-9.698974776841956
14,-0.24242424242424246,1.81640625,-0.24242424242424246,-9.464599776841956
15,-0.18939393939393942,1.81640625,-0.18939393939393942,-9.464599776841956
16,-0.15909090909090912,1.81640625,-0.15909090909090912,-9.464599776841956
17,-0.24242424242424246,7.27749907475931,-0.24242424242424246,-4.003506952082646
18,-0.14393939393939395,7.27749907475931,-0.14393939393939395,-4.003506952082646
19,-0.13636363636363638,7.27749907475931,-0.13636363636363638,-4.003506952082646
20,-0.1287878787878788,7.27749907475931,-0.1287878787878788,-4.003506952082646
21,-0.1287878787878788,7.453280324759309,-0.1287878787878788,-3.8277257020826467
22,-0.045454545454545456,7.453280324759309,-0.045454545454545456,-3.8277257020826467
23,-0.1287878787878788,7.51187407475931,-0.1287878787878788,-3.7691319520826463
24,-0.15909090909090912,7.57046782475931,-0.15909090909090912,-3.710538202082646
25,-0.10606060606060606,7.57046782475931,-0.10606060606060606,-3.710538202082646
26,-0.03787878787878788,7.57046782475931,-0.03787878787878788,-3.710538202082646
27,-0.24242424242424246,7.86343657475931,-0.24242424242424246,-3.417569452082646
28,-0.24242424242424246,8.097811574759309,-0.24242424242424246,-3.1831944520826463
29,-0.15151515151515152,8.097811574759309,-0.15151515151515152,-3.1831944520826463
30,-0.030303030303030307,8.15640532475931,-0.030303030303030307,-3.124600702082646
31,-0.10606060606060606,8.332186574759309,-0.10606060606060606,-2.9488194520826467
32,-0.022727272727272728,8.39078032475931,-0.022727272727272728,-2.8902257020826463
