dphi_rad,dtheta_rad
0.0,0.0
0.0006198880531945132,0.0
0.0012397761063890264,0.0
0.0018596641595835395,0.0
0.002479552212778053,0.0
0.003099440265972566,0.0
0.003719328319167079,0.0
0.0,0.0005843736334802442
0.0006198880531945132,0.0005843736334802442
0.0012397761063890264,0.0005843736334802442
0.0018596641595835395,0.0005843736334802442
0.002479552212778053,0.0005843736334802442
0.003099440265972566,0.0005843736334802442
0.003719328319167079,0.0005843736334802442
0.0,0.0011687472669604884
0.0006198880531945132,0.0011687472669604884
0.0012397761063890264,0.0011687472669604884
0.0018596641595835395,0.0011687472669604884
0.002479552212778053,0.0011687472669604884
0.003099440265972566,0.0011687472669604884
0.003719328319167079,0.0011687472669604884
0.0,0.0017531209004407325
0.0006198880531945132,0.0017531209004407325
0.0012397761063890264,0.0017531209004407325
0.0018596641595835395,0.0017531209004407325
0.002479552212778053,0.0017531209004407325
0.003099440265972566,0.0017531209004407325
0.003719328319167079,0.0017531209004407325
0.0,0.0023374945339209767
0.0006198880531945132,0.0023374945339209767
0.0012397761063890264,0.0023374945339209767
0.0018596641595835395,0.0023374945339209767
0.002479552212778053,0.0023374945339209767
0.003099440265972566,0.0023374945339209767
0.003719328319167079,0.0023374945339209767
0.0,0.0029218681674012207
0.0006198880531945132,0.0029218681674012207
0.0012397761063890264,0.0029218681674012207
0.0018596641595835395,0.0029218681674012207
0.002479552212778053,0.0029218681674012207
0.003099440265972566,0.0029218681674012207
0.003719328319167079,0.0029218681674012207
